Fecha;Precio;Generación
04/05/2017;Medio;Renovable Bajo
05/05/2017;Medio;Renovable Medio
06/05/2017;Medio;Renovable Medio
07/05/2017;Medio;Renovable Bajo
08/05/2017;Medio;Renovable Bajo
09/05/2017;Medio;Renovable Bajo
10/05/2017;Medio;Renovable Bajo
11/05/2017;Bajo;Renovable Alto
12/05/2017;Medio;Renovable Alto
13/05/2017;Medio;Renovable Medio
14/05/2017;Medio;Renovable Bajo
15/05/2017;Medio;Renovable Bajo
16/05/2017;Medio;Renovable Bajo
17/05/2017;Medio;Renovable Bajo
18/05/2017;Medio;Renovable Medio
19/05/2017;Medio;Renovable Bajo
20/05/2017;Medio;Renovable Bajo
21/05/2017;Medio;Renovable Medio
22/05/2017;Medio;Renovable Bajo
23/05/2017;Medio;Renovable Medio
24/05/2017;Medio;Renovable Bajo
25/05/2017;Medio;Renovable Bajo
26/05/2017;Medio;Renovable Bajo
27/05/2017;Medio;Renovable Medio
28/05/2017;Medio;Renovable Medio
29/05/2017;Medio;Renovable Bajo
30/05/2017;Medio;Renovable Bajo
31/05/2017;Medio;Renovable Bajo
01/06/2017;Medio;Renovable Bajo
02/06/2017;Medio;Renovable Bajo
03/06/2017;Medio;Renovable Bajo
04/06/2017;Medio;Renovable Bajo
05/06/2017;Medio;Renovable Medio
06/06/2017;Medio;Renovable Bajo
07/06/2017;Medio;Renovable Bajo
08/06/2017;Medio;Renovable Bajo
09/06/2017;Medio;Renovable Bajo
10/06/2017;Medio;Renovable Bajo
11/06/2017;Medio;Renovable Bajo
12/06/2017;Medio;Renovable Medio
13/06/2017;Medio;Renovable Bajo
14/06/2017;Medio;Renovable Bajo
15/06/2017;Medio;Renovable Bajo
16/06/2017;Medio;Renovable Bajo
17/06/2017;Medio;Renovable Bajo
18/06/2017;Medio;Renovable Bajo
19/06/2017;Medio;Renovable Bajo
20/06/2017;Medio;Renovable Bajo
21/06/2017;Medio;Renovable Bajo
22/06/2017;Medio;Renovable Bajo
23/06/2017;Medio;Renovable Bajo
24/06/2017;Medio;Renovable Bajo
25/06/2017;Medio;Renovable Bajo
26/06/2017;Medio;Renovable Bajo
27/06/2017;Medio;Renovable Bajo
28/06/2017;Medio;Renovable Alto
29/06/2017;Medio;Renovable Medio
30/06/2017;Medio;Renovable Medio
01/07/2017;Medio;Renovable Medio
02/07/2017;Medio;Renovable Medio
03/07/2017;Medio;Renovable Bajo
04/07/2017;Medio;Renovable Bajo
05/07/2017;Medio;Renovable Bajo
06/07/2017;Medio;Renovable Bajo
07/07/2017;Medio;Renovable Bajo
08/07/2017;Medio;Renovable Bajo
09/07/2017;Medio;Renovable Bajo
10/07/2017;Medio;Renovable Bajo
11/07/2017;Medio;Renovable Bajo
12/07/2017;Medio;Renovable Bajo
13/07/2017;Medio;Renovable Bajo
14/07/2017;Medio;Renovable Bajo
15/07/2017;Medio;Renovable Medio
16/07/2017;Medio;Renovable Bajo
17/07/2017;Medio;Renovable Bajo
18/07/2017;Medio;Renovable Bajo
19/07/2017;Medio;Renovable Bajo
20/07/2017;Medio;Renovable Bajo
21/07/2017;Medio;Renovable Bajo
22/07/2017;Medio;Renovable Bajo
23/07/2017;Medio;Renovable Bajo
24/07/2017;Medio;Renovable Bajo
25/07/2017;Medio;Renovable Bajo
26/07/2017;Medio;Renovable Bajo
27/07/2017;Medio;Renovable Bajo
28/07/2017;Medio;Renovable Bajo
29/07/2017;Medio;Renovable Bajo
30/07/2017;Medio;Renovable Bajo
31/07/2017;Medio;Renovable Bajo
01/08/2017;Medio;Renovable Bajo
02/08/2017;Medio;Renovable Bajo
03/08/2017;Medio;Renovable Bajo
04/08/2017;Medio;Renovable Bajo
05/08/2017;Medio;Renovable Bajo
06/08/2017;Medio;Renovable Medio
07/08/2017;Medio;Renovable Bajo
08/08/2017;Medio;Renovable Bajo
09/08/2017;Medio;Renovable Bajo
10/08/2017;Medio;Renovable Medio
11/08/2017;Medio;Renovable Medio
12/08/2017;Medio;Renovable Bajo
13/08/2017;Medio;Renovable Bajo
14/08/2017;Medio;Renovable Bajo
15/08/2017;Medio;Renovable Bajo
16/08/2017;Medio;Renovable Bajo
17/08/2017;Medio;Renovable Bajo
18/08/2017;Medio;Renovable Bajo
19/08/2017;Medio;Renovable Bajo
20/08/2017;Medio;Renovable Medio
21/08/2017;Medio;Renovable Bajo
22/08/2017;Medio;Renovable Bajo
23/08/2017;Medio;Renovable Bajo
24/08/2017;Medio;Renovable Bajo
25/08/2017;Medio;Renovable Bajo
26/08/2017;Medio;Renovable Bajo
27/08/2017;Medio;Renovable Bajo
28/08/2017;Medio;Renovable Bajo
29/08/2017;Medio;Renovable Bajo
30/08/2017;Medio;Renovable Bajo
31/08/2017;Medio;Renovable Bajo
01/09/2017;Medio;Renovable Bajo
02/09/2017;Medio;Renovable Bajo
03/09/2017;Medio;Renovable Bajo
04/09/2017;Medio;Renovable Bajo
05/09/2017;Medio;Renovable Bajo
06/09/2017;Medio;Renovable Bajo
07/09/2017;Medio;Renovable Bajo
08/09/2017;Medio;Renovable Bajo
09/09/2017;Medio;Renovable Medio
10/09/2017;Bajo;Renovable Medio
11/09/2017;Medio;Renovable Medio
12/09/2017;Medio;Renovable Bajo
13/09/2017;Medio;Renovable Bajo
14/09/2017;Medio;Renovable Bajo
15/09/2017;Medio;Renovable Bajo
16/09/2017;Medio;Renovable Bajo
17/09/2017;Medio;Renovable Bajo
18/09/2017;Medio;Renovable Bajo
19/09/2017;Medio;Renovable Bajo
20/09/2017;Medio;Renovable Bajo
21/09/2017;Medio;Renovable Bajo
22/09/2017;Medio;Renovable Bajo
23/09/2017;Medio;Renovable Bajo
24/09/2017;Medio;Renovable Bajo
25/09/2017;Medio;Renovable Bajo
26/09/2017;Medio;Renovable Bajo
27/09/2017;Medio;Renovable Bajo
28/09/2017;Medio;Renovable Bajo
29/09/2017;Medio;Renovable Bajo
30/09/2017;Medio;Renovable Bajo
01/10/2017;Medio;Renovable Bajo
02/10/2017;Medio;Renovable Bajo
03/10/2017;Alto;Renovable Bajo
04/10/2017;Alto;Renovable Bajo
05/10/2017;Alto;Renovable Bajo
06/10/2017;Medio;Renovable Medio
07/10/2017;Medio;Renovable Bajo
08/10/2017;Alto;Renovable Bajo
09/10/2017;Alto;Renovable Bajo
10/10/2017;Alto;Renovable Bajo
11/10/2017;Alto;Renovable Bajo
12/10/2017;Alto;Renovable Bajo
13/10/2017;Alto;Renovable Bajo
14/10/2017;Alto;Renovable Bajo
15/10/2017;Medio;Renovable Bajo
16/10/2017;Medio;Renovable Bajo
17/10/2017;Alto;Renovable Bajo
18/10/2017;Alto;Renovable Bajo
19/10/2017;Alto;Renovable Bajo
20/10/2017;Medio;Renovable Bajo
21/10/2017;Medio;Renovable Bajo
22/10/2017;Medio;Renovable Bajo
23/10/2017;Alto;Renovable Bajo
24/10/2017;Alto;Renovable Bajo
25/10/2017;Alto;Renovable Bajo
26/10/2017;Alto;Renovable Bajo
27/10/2017;Alto;Renovable Bajo
28/10/2017;Medio;Renovable Medio
29/10/2017;Medio;Renovable Medio
30/10/2017;Medio;Renovable Medio
31/10/2017;Alto;Renovable Bajo
01/11/2017;Medio;Renovable Bajo
02/11/2017;Alto;Renovable Bajo
03/11/2017;Alto;Renovable Bajo
04/11/2017;Alto;Renovable Bajo
05/11/2017;Medio;Renovable Medio
06/11/2017;Medio;Renovable Medio
07/11/2017;Alto;Renovable Bajo
08/11/2017;Alto;Renovable Medio
09/11/2017;Alto;Renovable Medio
10/11/2017;Alto;Renovable Medio
11/11/2017;Alto;Renovable Medio
12/11/2017;Medio;Renovable Medio
13/11/2017;Medio;Renovable Alto
14/11/2017;Alto;Renovable Bajo
15/11/2017;Alto;Renovable Bajo
16/11/2017;Alto;Renovable Bajo
17/11/2017;Alto;Renovable Bajo
18/11/2017;Alto;Renovable Bajo
19/11/2017;Alto;Renovable Bajo
20/11/2017;Alto;Renovable Bajo
21/11/2017;Alto;Renovable Bajo
22/11/2017;Alto;Renovable Bajo
